Seoul,14.879999999999995 clear sky,13.57000000000005 clear sky,11.740000000000009 clear sky,10.990000000000009 broken clouds,12.28000000000003 broken clouds,15.75 overcast clouds,17.32000000000005 overcast clouds,15.700000000000045 overcast clouds,14.689999999999998 overcast clouds,14.310000000000002 overcast clouds,13.890000000000043 overcast clouds,13.010000000000048 overcast clouds,14.170000000000016 overcast clouds,17.79000000000002 broken clouds,18.79000000000002 overcast clouds,14.840000000000032 light rain,13.379999999999995 light rain,13.900000000000034 overcast clouds,12.970000000000027 overcast clouds,12.260000000000048 light rain,12.550000000000011 scattered clouds,15.470000000000027 few clouds,15.670000000000016 few clouds,14.25 clear sky,12.930000000000007 clear sky,11.230000000000018 few clouds,9.090000000000032 clear sky,6.890000000000043 clear sky,6.340000000000032 clear sky,8.520000000000039 clear sky,9.610000000000014 clear sky,7.960000000000036 clear sky,6.960000000000036 clear sky,5.8799999999999955 clear sky,5.270000000000039 clear sky,5.170000000000016 clear sky,6.350000000000023 clear sky,10.120000000000005 clear sky,11.900000000000034 clear sky,11.180000000000007 clear sky,
Tokyo,14.490000000000009 broken clouds,14.25 overcast clouds,13.460000000000036 broken clouds,12.740000000000009 few clouds,14.32000000000005 scattered clouds,17.04000000000002 few clouds,18.230000000000018 clear sky,17.78000000000003 scattered clouds,16.160000000000025 broken clouds,15.510000000000048 few clouds,14.930000000000007 scattered clouds,14.230000000000018 overcast clouds,15.180000000000007 overcast clouds,16.900000000000034 overcast clouds,17.450000000000045 overcast clouds,16.08000000000004 light rain,14.220000000000027 moderate rain,13.75 heavy intensity rain,14.25 heavy intensity rain,15.430000000000007 overcast clouds,17.510000000000048 overcast clouds,20.30000000000001 overcast clouds,20.960000000000036 overcast clouds,19.420000000000016 light rain,19.260000000000048 light rain,17.410000000000025 few clouds,16.060000000000002 clear sky,15.520000000000039 clear sky,17.390000000000043 scattered clouds,19.49000000000001 overcast clouds,21.54000000000002 overcast clouds,20.420000000000016 overcast clouds,18.720000000000027 overcast clouds,17.310000000000002 broken clouds,15.990000000000009 broken clouds,14.78000000000003 broken clouds,15.580000000000041 scattered clouds,18.33000000000004 clear sky,18.140000000000043 few clouds,14.960000000000036 scattered clouds,
Beijing,12.860000000000014 few clouds,12.970000000000027 scattered clouds,12.560000000000002 broken clouds,12.300000000000011 overcast clouds,12.980000000000018 overcast clouds,16.360000000000014 scattered clouds,13.900000000000034 scattered clouds,11.760000000000048 broken clouds,11.080000000000041 overcast clouds,10.689999999999998 overcast clouds,10.850000000000023 overcast clouds,10.840000000000032 broken clouds,10.82000000000005 scattered clouds,14.32000000000005 clear sky,17.74000000000001 few clouds,17.04000000000002 clear sky,15.82000000000005 few clouds,14.590000000000032 clear sky,13.270000000000039 clear sky,13.230000000000018 clear sky,13.900000000000034 clear sky,16.460000000000036 clear sky,17.960000000000036 clear sky,16.879999999999995 clear sky,13.990000000000009 clear sky,12.150000000000034 clear sky,10.439999999999998 clear sky,9.879999999999995 clear sky,8.78000000000003 clear sky,11.53000000000003 clear sky,13.439999999999998 clear sky,13.28000000000003 clear sky,11.770000000000039 clear sky,10.350000000000023 clear sky,9.200000000000045 clear sky,8.28000000000003 clear sky,8.090000000000032 clear sky,11.670000000000016 clear sky,14.610000000000014 scattered clouds,14.28000000000003 clear sky,
Singapore,31.810000000000002 broken clouds,30.510000000000048 broken clouds,28.629999999999995 overcast clouds,27.850000000000023 light rain,29.230000000000018 light rain,28.600000000000023 scattered clouds,28.75 scattered clouds,29.360000000000014 broken clouds,29.230000000000018 broken clouds,28.920000000000016 scattered clouds,28.55000000000001 scattered clouds,27.480000000000018 light rain,27.83000000000004 light rain,28.710000000000036 light rain,28.939999999999998 few clouds,29.610000000000014 few clouds,29.410000000000025 few clouds,29.07000000000005 few clouds,28.74000000000001 few clouds,27.840000000000032 light rain,27.970000000000027 light rain,29.400000000000034 scattered clouds,29.060000000000002 light rain,29.260000000000048 broken clouds,29.24000000000001 scattered clouds,28.79000000000002 broken clouds,28.230000000000018 light rain,27.460000000000036 light rain,27.5 light rain,28.960000000000036 light rain,29.07000000000005 broken clouds,29.180000000000007 scattered clouds,29.010000000000048 few clouds,28.80000000000001 scattered clouds,28.30000000000001 scattered clouds,26.879999999999995 light rain,27.55000000000001 light rain,28.760000000000048 overcast clouds,28.950000000000045 overcast clouds,29.180000000000007 broken clouds,
Bangkok,30.510000000000048 overcast clouds,29.840000000000032 overcast clouds,26.310000000000002 overcast clouds,26.090000000000032 overcast clouds,26.78000000000003 overcast clouds,24.78000000000003 light rain,27.54000000000002 overcast clouds,28.25 light rain,27.55000000000001 overcast clouds,26.760000000000048 light rain,25.78000000000003 light rain,24.760000000000048 light rain,24.840000000000032 light rain,27.260000000000048 light rain,30.30000000000001 light rain,28.82000000000005 moderate rain,26.80000000000001 moderate rain,26.5 light rain,26.060000000000002 light rain,25.600000000000023 light rain,25.28000000000003 light rain,25.470000000000027 moderate rain,27.890000000000043 light rain,29.0 light rain,27.720000000000027 light rain,26.450000000000045 moderate rain,24.610000000000014 moderate rain,24.340000000000032 moderate rain,24.400000000000034 light rain,24.910000000000025 light rain,28.02000000000004 light rain,26.710000000000036 light rain,25.850000000000023 light rain,25.450000000000045 light rain,25.05000000000001 light rain,24.660000000000025 light rain,24.390000000000043 overcast clouds,26.439999999999998 overcast clouds,29.120000000000005 light rain,29.730000000000018 light rain,
Mumbai,31.30000000000001 light rain,29.54000000000002 light rain,27.100000000000023 light rain,24.970000000000027 moderate rain,24.970000000000027 very heavy rain,27.060000000000002 heavy intensity rain,27.04000000000002 light rain,27.53000000000003 light rain,27.430000000000007 overcast clouds,27.05000000000001 overcast clouds,26.27000000000004 overcast clouds,25.79000000000002 overcast clouds,25.470000000000027 overcast clouds,25.879999999999995 overcast clouds,27.390000000000043 overcast clouds,28.08000000000004 broken clouds,27.29000000000002 broken clouds,27.04000000000002 overcast clouds,26.860000000000014 overcast clouds,26.54000000000002 overcast clouds,26.480000000000018 overcast clouds,26.420000000000016 light rain,26.75 light rain,27.379999999999995 light rain,26.970000000000027 light rain,26.720000000000027 light rain,26.480000000000018 light rain,26.08000000000004 light rain,26.02000000000004 light rain,26.360000000000014 light rain,27.07000000000005 light rain,27.5 light rain,27.24000000000001 light rain,27.0 light rain,26.5 light rain,26.140000000000043 light rain,26.120000000000005 light rain,26.060000000000002 light rain,27.04000000000002 light rain,27.379999999999995 light rain,
Dubai,33.26000000000005 clear sky,31.650000000000034 clear sky,29.74000000000001 clear sky,28.5 clear sky,26.060000000000002 clear sky,27.30000000000001 clear sky,29.730000000000018 clear sky,30.480000000000018 scattered clouds,30.08000000000004 few clouds,28.680000000000007 clear sky,28.129999999999995 clear sky,27.53000000000003 clear sky,27.120000000000005 clear sky,27.450000000000045 clear sky,30.08000000000004 clear sky,30.75 clear sky,30.150000000000034 clear sky,28.670000000000016 clear sky,28.33000000000004 clear sky,27.890000000000043 clear sky,27.629999999999995 clear sky,27.640000000000043 clear sky,30.24000000000001 scattered clouds,30.850000000000023 overcast clouds,30.230000000000018 broken clouds,28.700000000000045 clear sky,28.220000000000027 clear sky,28.08000000000004 clear sky,27.840000000000032 clear sky,28.02000000000004 few clouds,30.07000000000005 clear sky,30.160000000000025 clear sky,29.379999999999995 clear sky,28.02000000000004 clear sky,27.120000000000005 clear sky,26.400000000000034 clear sky,25.939999999999998 clear sky,23.910000000000025 clear sky,27.840000000000032 clear sky,28.650000000000034 clear sky,
London,12.79000000000002 moderate rain,12.390000000000043 light rain,10.740000000000009 light rain,8.960000000000036 broken clouds,7.32000000000005 scattered clouds,7.730000000000018 clear sky,7.3700000000000045 clear sky,8.620000000000005 scattered clouds,11.830000000000041 scattered clouds,12.460000000000036 overcast clouds,11.020000000000039 overcast clouds,11.700000000000045 overcast clouds,12.75 light rain,13.78000000000003 light rain,13.430000000000007 light rain,14.210000000000036 overcast clouds,15.920000000000016 overcast clouds,16.32000000000005 broken clouds,14.600000000000023 scattered clouds,14.360000000000014 scattered clouds,14.660000000000025 broken clouds,14.390000000000043 overcast clouds,14.110000000000014 light rain,14.360000000000014 moderate rain,13.53000000000003 light rain,13.480000000000018 light rain,11.560000000000002 light rain,9.970000000000027 few clouds,10.170000000000016 scattered clouds,10.730000000000018 light rain,10.580000000000041 light rain,10.140000000000043 light rain,12.420000000000016 scattered clouds,12.57000000000005 clear sky,10.550000000000011 scattered clouds,9.650000000000034 scattered clouds,9.230000000000018 scattered clouds,9.970000000000027 broken clouds,10.620000000000005 overcast clouds,12.180000000000007 overcast clouds,
Paris,12.590000000000032 scattered clouds,13.310000000000002 light rain,11.910000000000025 moderate rain,11.590000000000032 light rain,11.060000000000002 overcast clouds,11.78000000000003 light rain,10.450000000000045 overcast clouds,11.470000000000027 broken clouds,14.25 broken clouds,15.170000000000016 overcast clouds,13.830000000000041 overcast clouds,12.650000000000034 overcast clouds,12.0 overcast clouds,11.840000000000032 overcast clouds,12.160000000000025 overcast clouds,13.810000000000002 overcast clouds,15.390000000000043 overcast clouds,16.840000000000032 overcast clouds,15.910000000000025 overcast clouds,15.75 light rain,14.700000000000045 light rain,15.189999999999998 light rain,15.420000000000016 overcast clouds,16.700000000000045 overcast clouds,15.25 moderate rain,14.640000000000043 moderate rain,13.660000000000025 overcast clouds,12.830000000000041 overcast clouds,12.180000000000007 overcast clouds,11.740000000000009 overcast clouds,11.600000000000023 overcast clouds,12.830000000000041 light rain,13.330000000000041 light rain,13.5 light rain,12.07000000000005 broken clouds,10.760000000000048 clear sky,9.939999999999998 clear sky,9.330000000000041 clear sky,8.740000000000009 few clouds,10.010000000000048 broken clouds,
Berlin,12.390000000000043 scattered clouds,11.590000000000032 broken clouds,10.490000000000009 overcast clouds,10.430000000000007 overcast clouds,11.390000000000043 overcast clouds,11.090000000000032 light rain,11.170000000000016 light rain,11.410000000000025 moderate rain,10.360000000000014 light rain,10.890000000000043 clear sky,9.700000000000045 few clouds,8.689999999999998 few clouds,8.010000000000048 broken clouds,7.550000000000011 overcast clouds,7.1299999999999955 overcast clouds,9.28000000000003 overcast clouds,12.129999999999995 overcast clouds,11.520000000000039 overcast clouds,10.29000000000002 overcast clouds,9.689999999999998 overcast clouds,9.080000000000041 overcast clouds,8.800000000000011 overcast clouds,9.170000000000016 overcast clouds,11.260000000000048 overcast clouds,13.870000000000005 overcast clouds,13.79000000000002 overcast clouds,13.360000000000014 light rain,13.300000000000011 light rain,13.939999999999998 light rain,11.770000000000039 overcast clouds,10.110000000000014 overcast clouds,11.379999999999995 overcast clouds,13.470000000000027 overcast clouds,12.990000000000009 overcast clouds,11.900000000000034 overcast clouds,11.150000000000034 overcast clouds,9.860000000000014 overcast clouds,10.400000000000034 overcast clouds,8.54000000000002 overcast clouds,10.310000000000002 few clouds,
Madrid,12.689999999999998 light rain,14.129999999999995 light rain,13.710000000000036 overcast clouds,12.450000000000045 overcast clouds,8.390000000000043 overcast clouds,13.080000000000041 scattered clouds,12.700000000000045 few clouds,14.350000000000023 clear sky,17.710000000000036 clear sky,18.82000000000005 clear sky,16.090000000000032 clear sky,14.580000000000041 overcast clouds,13.439999999999998 overcast clouds,12.310000000000002 overcast clouds,11.600000000000023 overcast clouds,13.150000000000034 overcast clouds,15.680000000000007 overcast clouds,16.920000000000016 overcast clouds,15.79000000000002 overcast clouds,14.629999999999995 overcast clouds,13.760000000000048 overcast clouds,12.850000000000023 broken clouds,12.090000000000032 broken clouds,13.420000000000016 broken clouds,15.53000000000003 overcast clouds,17.090000000000032 overcast clouds,15.980000000000018 overcast clouds,14.79000000000002 broken clouds,13.510000000000048 overcast clouds,12.990000000000009 overcast clouds,12.939999999999998 light rain,14.25 overcast clouds,17.510000000000048 overcast clouds,19.28000000000003 overcast clouds,17.310000000000002 overcast clouds,15.79000000000002 overcast clouds,15.520000000000039 broken clouds,14.200000000000045 clear sky,13.5 clear sky,14.879999999999995 scattered clouds,
